"Series";"Time";"Value"
"Potència activa";"2019-09-29T14:00:00+02:00";825000
"Potència activa";"2019-09-30T02:00:00+02:00";2374000
"Potència activa";"2019-09-30T14:00:00+02:00";824000
"Potència activa";"2019-10-01T02:00:00+02:00";2583000
"Potència activa";"2019-10-01T14:00:00+02:00";837000
"Potència activa";"2019-10-02T02:00:00+02:00";2279000
"Potència activa";"2019-10-02T14:00:00+02:00";803000
"Potència activa";"2019-10-03T02:00:00+02:00";2150000
"Potència activa";"2019-10-03T14:00:00+02:00";773000
"Potència activa";"2019-10-04T02:00:00+02:00";2049000
"Potència activa";"2019-10-04T14:00:00+02:00";793000
"Potència activa";"2019-10-05T02:00:00+02:00";1187000
"Potència activa";"2019-10-05T14:00:00+02:00";803000
"Potència activa";"2019-10-06T02:00:00+02:00";967000
"Potència activa";"2019-10-06T14:00:00+02:00";750000
"Potència activa";"2019-10-07T02:00:00+02:00";2169000
"Potència activa";"2019-10-07T14:00:00+02:00";768000
"Potència activa";"2019-10-08T02:00:00+02:00";2079000
"Potència activa";"2019-10-08T14:00:00+02:00";776000
"Potència activa";"2019-10-09T02:00:00+02:00";2294000
"Potència activa";"2019-10-09T14:00:00+02:00";765000
"Potència activa";"2019-10-10T02:00:00+02:00";2249000
"Potència activa";"2019-10-10T14:00:00+02:00";793000
"Potència activa";"2019-10-11T02:00:00+02:00";2028000
"Potència activa";"2019-10-11T14:00:00+02:00";830000
"Potència activa";"2019-10-12T02:00:00+02:00";1056000
"Potència activa";"2019-10-12T14:00:00+02:00";860000
"Potència activa";"2019-10-13T02:00:00+02:00";1010000
"Potència activa";"2019-10-13T14:00:00+02:00";801000
"Potència activa";"2019-10-14T02:00:00+02:00";2330000
"Potència activa";"2019-10-14T14:00:00+02:00";846000
"Potència activa";"2019-10-15T02:00:00+02:00";1985000
"Potència activa";"2019-10-15T14:00:00+02:00";833000
"Potència activa";"2019-10-16T02:00:00+02:00";1966000
"Potència activa";"2019-10-16T14:00:00+02:00";820000
"Potència activa";"2019-10-17T02:00:00+02:00";1992000
"Potència activa";"2019-10-17T14:00:00+02:00";753000
"Potència activa";"2019-10-18T02:00:00+02:00";1964000
"Potència activa";"2019-10-18T14:00:00+02:00";745000
"Potència activa";"2019-10-19T02:00:00+02:00";1179000
"Potència activa";"2019-10-19T14:00:00+02:00";814000
"Potència activa";"2019-10-20T02:00:00+02:00";1102000
"Potència activa";"2019-10-20T14:00:00+02:00";739000
"Potència activa";"2019-10-21T02:00:00+02:00";1993000
"Potència activa";"2019-10-21T14:00:00+02:00";792000
"Potència activa";"2019-10-22T02:00:00+02:00";1964000
"Potència activa";"2019-10-22T14:00:00+02:00";752000
"Potència activa";"2019-10-23T02:00:00+02:00";2068000
"Potència activa";"2019-10-23T14:00:00+02:00";756000
"Potència activa";"2019-10-24T02:00:00+02:00";1941000
"Potència activa";"2019-10-24T14:00:00+02:00";718000
"Potència activa";"2019-10-25T02:00:00+02:00";1741000
"Potència activa";"2019-10-25T14:00:00+02:00";683000
"Potència activa";"2019-10-26T02:00:00+02:00";947000
"Potència activa";"2019-10-26T14:00:00+02:00";677000
"Potència activa";"2019-10-27T02:00:00+02:00";878000
"Potència activa";"2019-10-27T13:00:00+01:00";700000
"Potència activa";"2019-10-28T01:00:00+01:00";1845000
"Potència activa";"2019-10-28T13:00:00+01:00";729000
"Potència activa";"2019-10-29T01:00:00+01:00";1860000
"Potència activa";"2019-10-29T13:00:00+01:00";730000
"Potència activa";"2019-10-30T01:00:00+01:00";1940000
"Potència activa";"2019-10-30T13:00:00+01:00";719000
"Potència activa";"2019-10-31T01:00:00+01:00";1866000
"Potència activa";"2019-10-31T13:00:00+01:00";730000
"Potència activa";"2019-11-01T01:00:00+01:00";1041000
"Potència activa";"2019-11-01T13:00:00+01:00";696000
"Potència activa";"2019-11-02T01:00:00+01:00";849000
"Potència activa";"2019-11-02T13:00:00+01:00";730000
"Potència activa";"2019-11-03T01:00:00+01:00";814000
"Potència activa";"2019-11-03T13:00:00+01:00";717000
"Potència activa";"2019-11-04T01:00:00+01:00";2018000
"Potència activa";"2019-11-04T13:00:00+01:00";715000
"Potència activa";"2019-11-05T01:00:00+01:00";1871000
"Potència activa";"2019-11-05T13:00:00+01:00";769000
"Potència activa";"2019-11-06T01:00:00+01:00";1859000
"Potència activa";"2019-11-06T13:00:00+01:00";731000
"Potència activa";"2019-11-07T01:00:00+01:00";1831000
"Potència activa";"2019-11-07T13:00:00+01:00";703000
"Potència activa";"2019-11-08T01:00:00+01:00";1711000
"Potència activa";"2019-11-08T13:00:00+01:00";749000
"Potència activa";"2019-11-09T01:00:00+01:00";874000
"Potència activa";"2019-11-09T13:00:00+01:00";703000
"Potència activa";"2019-11-10T01:00:00+01:00";799000
"Potència activa";"2019-11-10T13:00:00+01:00";701000
"Potència activa";"2019-11-11T01:00:00+01:00";2159000
"Potència activa";"2019-11-11T13:00:00+01:00";710000
"Potència activa";"2019-11-12T01:00:00+01:00";2118000
"Potència activa";"2019-11-12T13:00:00+01:00";748000
"Potència activa";"2019-11-13T01:00:00+01:00";2412000
"Potència activa";"2019-11-13T13:00:00+01:00";936000
"Potència activa";"2019-11-14T01:00:00+01:00";2296000
"Potència activa";"2019-11-14T13:00:00+01:00";799000
"Potència activa";"2019-11-15T01:00:00+01:00";2241000
"Potència activa";"2019-11-15T13:00:00+01:00";883000
"Potència activa";"2019-11-16T01:00:00+01:00";1176000
"Potència activa";"2019-11-16T13:00:00+01:00";807000
"Potència activa";"2019-11-17T01:00:00+01:00";952000
"Potència activa";"2019-11-17T13:00:00+01:00";741000
"Potència activa";"2019-11-18T01:00:00+01:00";2626000
"Potència activa";"2019-11-18T13:00:00+01:00";851000
"Potència activa";"2019-11-19T01:00:00+01:00";2549000
"Potència activa";"2019-11-19T13:00:00+01:00";930000
"Potència activa";"2019-11-20T01:00:00+01:00";2625000
"Potència activa";"2019-11-20T13:00:00+01:00";929000
"Potència activa";"2019-11-21T01:00:00+01:00";2440000
"Potència activa";"2019-11-21T13:00:00+01:00";822000
"Potència activa";"2019-11-22T01:00:00+01:00";2149000
"Potència activa";"2019-11-22T13:00:00+01:00";780000
"Potència activa";"2019-11-23T01:00:00+01:00";1145000
"Potència activa";"2019-11-23T13:00:00+01:00";796000
"Potència activa";"2019-11-24T01:00:00+01:00";899000
"Potència activa";"2019-11-24T13:00:00+01:00";776000
"Potència activa";"2019-11-25T01:00:00+01:00";1296000
"Potència activa";"2019-11-25T13:00:00+01:00";843000
"Potència activa";"2019-11-26T01:00:00+01:00";2297000
"Potència activa";"2019-11-26T13:00:00+01:00";806000
"Potència activa";"2019-11-27T01:00:00+01:00";2106000
"Potència activa";"2019-11-27T13:00:00+01:00";863000
"Potència activa";"2019-11-28T01:00:00+01:00";2026000
"Potència activa";"2019-11-28T13:00:00+01:00";838000
"Potència activa";"2019-11-29T01:00:00+01:00";1875000
"Potència activa";"2019-11-29T13:00:00+01:00";830000
"Potència activa";"2019-11-30T01:00:00+01:00";1036000
"Potència activa";"2019-11-30T13:00:00+01:00";840000
"Potència activa";"2019-12-01T01:00:00+01:00";932000
"Potència activa";"2019-12-01T13:00:00+01:00";822000
